PC;Lib_Processus_Cascade;AM;Lib_Activite_Metier;AC;Lib_Activite_Cascade;Label;Lib_Label_Analytique;Concatener_PC_AM_AC_Label;Code_manuel;Type_activite;Activite_1;Lib_Code
PC120;CHARGES DIVERSES;AM9300;ETN RH (AUTRES);AC380;ETN RH 1;PPPAVT;AVANTAGES FINANCIERS PART ELP;PC120AM9300AC380PPPAVT;26;Structures;Ecritures Nationales RH;ETN RH tout domaine hors DPOM
PC120;CHARGES DIVERSES;AM9400;ETN RH (INTERESSEMENT & CONGES);AC380;ETN RH 1;PPHTSD;ETN RH ELP REALLOUEES SUR TOUS LES DOMAI;PC120AM9400AC380PPHTSD;27;Structures;Ecritures Nationales RH;ETN RH tout domaine
PC120;CHARGES DIVERSES;AM9500;ETN RH DOTATIONS DFC;AC380;ETN RH 1;PPHFCD;ETN RH DOTATIONS DFC NON REALLOUEES SUR;PC120AM9500AC380PPHFCD;13;Structures;Ecritures Nationales RH;Charges Cantonnées
PC120;CHARGES DIVERSES;AM9550;ETN RH REPRISES DFC;AC380;ETN RH 1;PPHFCR;ETN RH REPRISES DFC NON REALLOUEES SUR S;PC120AM9550AC380PPHFCR;28;Structures;Ecritures Nationales RH;Reprise Brutes Dispositif DFC
PC020;STRUCTURES LOCALES;AM7500;NON PRODUCTIF;AC080;NON PRODUCTIF;PPPBNP;BP - NON PRODUCTIF & FORMATION;PC020AM7500AC080PPPBNP;29;Structures;Charges Indirectes d'établissement;CIE - Non productif & formation
PC020;STRUCTURES LOCALES;AM0600;DET;AC040;ENCADRANTS;PPPBCE;BP - ENCADRANTS;PC020AM0600AC040PPPBCE;32;Structures;Charges Indirectes d'établissement;Directeur de Secteur (DS)
PC020;STRUCTURES LOCALES;AM0500;ENCADRANTS;AC040;ENCADRANTS;PPPREC;BP - CHEF ETABLISSEMENT HORS PROD.;PC020AM0500AC040PPPREC;33;Structures;Charges Indirectes d'établissement;Responsable Espace Comercial (REC)
PC020;STRUCTURES LOCALES;AM7600;LOCAUX;AC200;LOCAUX;PPPBIM;BP - CHARGES DE LOCAUX;PC020AM7600AC200PPPBIM;30;Structures;Charges Indirectes d'établissement;CIE - Loyers et Charges Immobilières (hors Cplts de Loyers)
PC020;STRUCTURES LOCALES;AM7800;COMPLEMENTS LOYERS;AC210;COMPLEMENTS LOYERS;PPPBCL;BP - CHARGES DE LOCAUX COMPLEMENTS DE LO;PC020AM7800AC210PPPBCL;31;Structures;Charges Indirectes d'établissement;CIE - Compléments de loyers
PC110;AUTRES ACTIVITES;AM0900;BRIGADES ET EAR;AC070;BRIGADES ET EAR;PPPDBR;BRIGADES & EAR (SOLDE);PC110AM0900AC070PPPDBR;60;Structures;Charges Indirectes d'établissement;CIE - Brigades
PC020;STRUCTURES LOCALES;AM7400;INDIVIS;AC100;AUTRES STRUCTURES BP;PPPB48;BP - STRUCTURES BP (448);PC020AM7400AC100PPPB48;35;Structures;Charges Indirectes d'établissement;CIE - Autres
PC020;STRUCTURES LOCALES;AM7400;INDIVIS;AC100;AUTRES STRUCTURES BP;PPPBIN;BP - INDIVIS ET CUT-OFF;PC020AM7400AC100PPPBIN;35;Structures;Charges Indirectes d'établissement;CIE - Autres
PC020;STRUCTURES LOCALES;AM7550;VEHICULES;AC100;AUTRES STRUCTURES BP;PPPBVE;BP - VEHICULES HORS DISTRIBUTION;PC020AM7550AC100PPPBVE;35;Structures;Charges Indirectes d'établissement;CIE - Autres
PC030;STRUCTURES TERRITORIALES;AM4800;STRUCT TERRIT TRANSVERSE;AC190;STRUCTURES TERRITORIALES TRANSVERSE;PPPTIN;STRUCTURES TRANSVERSES INDIVIS;PC030AM4800AC190PPPTIN;36;Structures;Structures Territoriales;ST - Transverses en DPOM-DCR
